"year","month","day","ssp126","ssp245","ssp370","ssp585"
2030,8,23,6.0318,1.2023,0,8.6934
2030,8,24,9.6032,8.0579,5.854,0.8011
2030,8,25,3.0134,4.7434,0.705,0
2030,8,26,0.7456,13.1797,0.3364,1.818
2030,8,27,6.0606,0,0.7394,0.2119
2030,8,28,0.0592,0,2.1862,14.3066
2030,8,29,5.9164,0,5.8809,3.895
2030,8,30,4.2006,0,3.0466,1.2005
2030,8,31,6.5477,0,2.3364,1.3307
2031,8,1,0.7046,1.4942,2.7871,7.1294
2031,8,2,1.7349,13.0148,10.1643,11.4183
2031,8,3,4.7605,4.5992,14.7075,0
2031,8,4,1.0472,7.4413,9e-04,0.184
2031,8,5,3.5074,8.6464,0.0404,14.6099
2031,8,6,3.1866,1.4221,1.777,0.1455
2031,8,7,1.4234,1.8641,0.0845,0.1285
2031,8,8,12.6444,2.298,0.8765,0.8095
2031,8,9,0.1527,1.7743,0.2936,0.0362
2031,8,10,0.0517,4.4711,1.0081,0.4888
2031,8,11,0,10.4847,3.7235,4.7219
2031,8,12,0.0912,0.2541,0.1882,2.3705
2031,8,13,5.3076,1.4922,0.4492,2.0282
2031,8,14,4.0871,2.5726,0.2471,2.3115
2031,8,15,0.0275,0.7364,0.6557,0.3518
2031,8,16,0.006,1.5584,3.4768,0.0057
2031,8,17,1e-04,0,5.1197,1e-04
2031,8,18,0.1653,0.077,3.9556,5.4957
2031,8,19,1.6877,0.1374,2.1062,5.1144
2031,8,20,5.5613,15.5687,11.2786,1.3412
2031,8,21,3.5535,14.5336,2.408,4.1764
2031,8,22,5.7176,0.1303,2.0967,16.9496
2031,8,23,0,0.0173,5.8678,13.2329
2031,8,24,5.1845,0.9909,0.161,1.7222
2031,8,25,1.7173,2.355,7.5643,6e-04
2031,8,26,1.114,3.9723,0.6179,6.992
2031,8,27,3.1116,0.7955,0.0095,3.8307
2031,8,28,1e-04,2.1374,0,0
2031,8,29,0,12.1475,0,2e-04
2031,8,30,0,2.3693,0.0285,0
2031,8,31,0.0076,0,0.3415,0
2032,8,1,0.6526,1.4004,3.4287,4.8193
2032,8,2,0.7837,0.0019,7.4642,13.1614
2032,8,3,7.0481,1.5489,0.6833,0
2032,8,4,0.2521,5.2874,0.6942,0.0788
2032,8,5,0.0465,0.0404,14.9941,0.1386
2032,8,6,3.3099,0.1209,15.0826,1.7781
2032,8,7,0.5564,14.5626,2.9558,0.3248
2032,8,8,0.1402,0.0828,6.2152,0.3964
2032,8,9,0,0.0029,1.2174,1.4694
2032,8,10,1.4432,0.5292,3.6369,0.0691
2032,8,11,0.2866,3.8117,1.3148,0.0834
2032,8,12,0,1.587,0.2179,2e-04
2032,8,13,0,0.1261,4.1371,0
2032,8,14,0,1.5307,7.4133,0
2032,8,15,10.6319,0.0025,5.2387,0.3741
2032,8,16,5.3147,0.0027,6.1673,3.443
2032,8,17,0.0648,0.1812,9.2334,0.3668
2032,8,18,0.6259,0.0106,21.821,0.3587
2032,8,19,1.1714,0.4609,3.9237,8.4786
2032,8,20,1.9621,3.0038,0.0021,0.3891
2032,8,21,2.4899,1.6013,0.0639,0
2032,8,22,0.3736,3.1698,1.6821,4.2331
2032,8,23,0.0481,3.2699,0.2401,22.6314
2032,8,24,0.9771,3.5756,2.5372,7.2524
2032,8,25,9.8078,2.2006,7.8761,1.4646
2032,8,26,8.8798,0.7781,9.4355,0.1071
2032,8,27,4.7159,3.4008,5.48,0.1675
2032,8,28,4.0309,3.2058,0.5731,0.6292
2032,8,29,10.9886,0,0.9138,1.0322
2032,8,30,1.622,0,9.4149,13.0057
2032,8,31,0.0384,0,8.9839,2.6528
2033,8,1,10.6218,3.4895,0,7.4067
2033,8,2,12.9936,5.3053,0,7.9608
2033,8,3,7.1025,1.6868,0.1244,8.6889
2033,8,4,1.1679,0.0372,1.4232,1.52
2033,8,5,1.097,0.8795,0.0032,8.0316
2033,8,6,3.7795,1.883,0.3014,14.0192
2033,8,7,3.7846,10.1196,2.3745,8.6964
2033,8,8,1.1134,4.5951,8.9571,3.7187
2033,8,9,0.2871,0,5.9291,2.5049
2033,8,10,3.4782,0.2739,0.3375,3.2344
2033,8,11,0.6861,0.355,0,1.8574
2033,8,12,0.5638,1.2514,0,1.6174
2033,8,13,1.659,0.0323,0,14.7667
2033,8,14,4.2777,2.1672,2.6079,13.354
2033,8,15,8.2358,2.1837,0.4,4.6373
2033,8,16,8e-04,6.7525,10.4408,0.0172
2033,8,17,0,5.0271,8.1158,3.4414
